ID,Topic,Difficulty,Prompt,Opt0,Opt1,Opt2,Opt3,Fb0,Fb1,Fb2,Fb3,CorrectIdx
A01,KNOW_CHARGE_SIGNS,1,Duas Cargas Descontroladas possuem o mesmo sinal positivo (+). O que acontece quando se aproximam?,Atraem-se com força.,Ignoram-se mutuamente.,Repelem-se.,Fundem-se em uma só.,Incorreto. A atração ocorre apenas entre cargas de sinais opostos.,Incorreto. Cargas elétricas sempre interagem.,Correto! Cargas de mesmo sinal sofrem força de repulsão eletrostática.,Incorreto. A repulsão as manterá separadas.,2
A02,KNOW_CHARGE_SIGNS,1,"Se um inimigo Próton (+) e um inimigo Elétron (-) forem colocados lado a lado, qual é a interação natural?",Eles se atraem.,Eles se repelem.,Eles perdem a carga.,A distância entre eles aumenta.,Correto! Cargas com sinais opostos sofrem força de atração.,Incorreto. A repulsão é exclusiva para sinais iguais.,Incorreto. A carga não some por simples proximidade.,"Incorreto. Se eles se atraem, a distância diminui.",0
A03,KNOW_CHARGE_SIGNS,1,"Alguns moradores acreditam que o sinal negativo (-) indica algo maligno. Na física, o que o sinal da carga realmente significa?",Indica se a carga é destrutiva ou pacífica.,Descreve apenas uma propriedade de interação física.,Indica que a partícula não possui massa.,Mostra que a carga sempre será atraída por qualquer coisa.,Incorreto. O sinal não possui valor moral ou destrutivo.,Correto! Os sinais positivo e negativo apenas descrevem a natureza da atração e repulsão.,Incorreto. Elétrons possuem sinal negativo e têm massa.,Incorreto. Ela será repelida por outras cargas negativas.,1
A04,KNOW_CHARGE_SIGNS,2,A técnica Mara afirmou que a carga não surge do nada. Qual é a regra da conservação da carga elétrica?,A carga pode ser destruída se a força for muito grande.,A soma algébrica de todas as cargas em um sistema isolado é constante.,Cargas positivas podem ser convertidas em negativas com o tempo.,Apenas os prótons se conservam.,Incorreto. A carga elétrica não pode ser destruída.,"Correto! Em qualquer processo, a carga total do sistema fechado não muda, apenas é transferida.",Incorreto. O sinal de uma partícula fundamental não muda.,Incorreto. A regra se aplica a todas as cargas do sistema.,1
A05,KNOW_CHARGE_SIGNS,2,"Se uma criatura corrompida for descrita como eletricamente neutra, o que isso significa fisicamente?",Ela não possui prótons nem elétrons em sua estrutura.,Ela possui o mesmo número de prótons e elétrons.,Ela repulsará qualquer carga que se aproxime.,Ela é feita apenas de nêutrons.,Incorreto. Toda matéria comum contém prótons e elétrons.,Correto! A carga líquida é zero porque as cargas positivas e negativas se anulam.,"Incorreto. Um corpo neutro pode ser atraído por indução, mas não repele ativamente.","Incorreto. Ela contém as três partículas, mas em equilíbrio de cargas.",1
A06,KNOW_CHARGE_SIGNS,2,"Quando a haste de Nilo ganha carga negativa ao ser atritada com pele, o que aconteceu com a pele?",Ela ganhou carga negativa também.,Ela foi destruída.,Ela adquiriu carga positiva de mesmo módulo.,Ela permaneceu neutra.,Incorreto. Ambas não podem ganhar o mesmo sinal sem violar a conservação.,Incorreto. A matéria apenas transferiu elétrons.,"Correto! A pele perdeu elétrons para a haste, ficando positiva na exata proporção.","Incorreto. Ao perder elétrons, a pele deixa de ser neutra.",2
A07,KNOW_CHARGE_SIGNS,3,A carga elétrica de qualquer corpo macroscópico é sempre um múltiplo de um valor básico. Que princípio é este?,Relatividade da carga.,Quantização da carga.,Polarização reversa.,Conservação de massa.,Incorreto. A carga não é relativa ao observador desta forma.,"Correto! A carga é quantizada, existindo como múltiplos inteiros da carga fundamental do elétron ou próton.",Incorreto. Polarização é outro fenômeno.,Incorreto. Este princípio refere-se especificamente à carga.,1
A08,KNOW_CHARGE_SIGNS,2,"Se um inimigo neutro de repente se torna um íon positivo, o que ocorreu em sua estrutura?",Ele absorveu prótons do ambiente.,Ele perdeu elétrons.,Ele multiplicou sua massa.,Ele destruiu seus elétrons.,"Incorreto. É extremamente difícil mover prótons, que estão fixos no núcleo.",Correto! A ionização positiva ocorre quando um átomo perde elétrons (cargas negativas).,Incorreto. A perda de elétrons diminui minimamente a massa.,"Incorreto. Elétrons não são destruídos, apenas transferidos para outro corpo.",1
A09,KNOW_CHARGE_SIGNS,2,"Se o herói transferir elétrons para um objeto neutro, qual será o novo estado elétrico desse objeto?",Neutro.,Íon positivo.,Íon negativo.,Supercondutor.,"Incorreto. Ao receber carga, ele deixa de ser neutro.",Incorreto. Receber elétrons (negativos) o deixaria negativo.,Correto! Um íon negativo é obtido quando há ganho de elétrons.,"Incorreto. Supercondutividade refere-se à resistência, não à polaridade.",2
A10,KNOW_CHARGE_SIGNS,3,O que é a 'carga líquida' de um corpo que o herói encontra na região?,A soma total de todos os prótons presentes.,A soma algébrica de todas as cargas (positivas e negativas) do corpo.,A carga apenas dos elétrons na superfície.,Uma carga no estado líquido.,Incorreto. É preciso descontar os elétrons para saber o balanço.,Correto! A carga líquida é o saldo final após somar as cargas positivas e negativas.,"Incorreto. Inclui todo o corpo, não apenas a superfície.","Incorreto. 'Líquida' refere-se ao saldo matemático, não ao estado da matéria.",1
